"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"23","261.972869012393","55.77067472908548","0.01318359375","0.02197265625","0.00439453125","2400","0.0003177634029636717","32","0.0003177634029636717","0","0.0003177634029636717","0.0003177634029636717","13:0.0015827587399452614;24:0.0021720274185348665;33:0.002552529643136431","22:108;13:68;24:68;33:68","0.01318359375","Yes"
"24","472.69774367401203","290.7465537999267","0.02978515625","0.04248046875","0.01708984375","2400","0.00022237009312455183","32","0.00022237009312455183","0","0.00022237009312455183","0.00022237009312455183","14:0.0047694168228918365;23:0.0021720274185348665;25:0.0015722556984318348;34:0.0014704368353045671","14:68;23:68;25:68;34:68","0.02978515625","Yes"
"25","235.92857820448543","220.22482787625245","0.0369873046875","0.035888671875","0.0380859375","2400","0.000168375559222272","32","0.000168375559222272","0","0.000168375559222272","0.000168375559222272","15:0.0013020068003493368;24:0.0015722556984318348;26:0.0031407003154232394;35:0.0016775479951044725","15:68;24:68;26:68;35:68","0.0369873046875","Yes"
"26","386.91562672517983","224.45337561822757","0.0225830078125","0.033935546875","0.01123046875","2400","0.00015752148446552703","32","0.00015752148446552703","0","0.00015752148446552703","0.00015752148446552703","16:0.0011778645025560253;25:0.0031407003154232394;27:0.0016850842922006837;36:0.0014469952527902952","16:68;25:68;27:68;36:68","0.0225830078125","Yes"
"27","240.53778730929645","197.5098800907706","0.013427734375","0.02294921875","0.00390625","2400","0.00014354603513175442","32","0.00014354603513175442","0","0.00014354603513175442","0.00014354603513175442","26:0.0016850842922006837;28:0.0011960071260282423;17:0.0019455087176249442;37:0.002964802741290573","26:68;28:68;17:68;37:108","0.013427734375","Yes"
"28","356.2010869378352","210.29004832212632","0.0123291015625","0.013671875","0.010986328125","2400","0.00013380843654307024","32","0.00013380843654307024","0","0.00013380843654307024","0.00013380843654307024","18:0.0015018376873786043;27:0.0011960071260282423;29:0.0032677020382994304;38:0.15515815676080044","18:68;27:68;29:68;38:208","0.0123291015625","Yes"
"29","147.54014400344647","168.59293502868434","0.070068359375","0.10498046875","0.03515625","2400","0.001382626454879265","32","0.001382626454879265","0","0.001382626454879265","0.001382626454879265","19:0.0029586815487445683;28:0.0032677020382994304;39:0.02090609307891536","19:68;28:68;39:88","0.070068359375","Yes"
"30","140.58628487636994","197.17716954480315","0.0093994140625","0.012451171875","0.00634765625","2400","0.00017416013733373835","32","0.00017416013733373835","0","0.00017416013733373835","0.00017416013733373835","20:0.01482549353524612;31:0.0016839855765212464;40:0.0036510526743342153","20:68;31:88;40:68","0.0093994140625","Yes"
"31","292.80577257072116","258.72446531250654","0.0235595703125","0.028076171875","0.01904296875","2400","0.00038995461261235145","32","0.00038995461261235145","0","0.00038995461261235145","0.00038995461261235145","30:0.0016839855765212464;32:0.003167440140514982;21:0.0015708697409159977;41:0.001897125521865689","30:88;32:68;21:68;41:68","0.0235595703125","Yes"
"32","400.30962960055376","313.6678003570059","0.035400390625","0.040283203125","0.030517578125","2400","0.00013479441951076197","32","0.00013479441951076197","0","0.00013479441951076197","0.00013479441951076197","22:0.0031777580210999024;31:0.003167440140514982;33:0.004128232857610409;42:0.005695159200950678","22:68;31:68;33:68;42:68","0.035400390625","Yes"
"33","249.33632415301818","259.65714245042903","0.018798828125","0.031005859375","0.006591796875","2400","0.00019645949697481445","32","0.00019645949697481445","0","0.00019645949697481445","0.00019645949697481445","23:0.002552529643136431;32:0.004128232857610409;34:0.0030385604050341963;43:0.007200390626377617","23:68;32:68;34:108;43:68","0.018798828125","Yes"
"34","245.5209069572309","252.30713225256085","0.0130615234375","0.014404296875","0.01171875","2400","0.0002839689519126418","32","0.0002839689519126418","0","0.0002839689519126418","0.0002839689519126418","24:0.0014704368353045671;33:0.0030385604050341963;35:0.0022639350665192848","24:68;33:108;35:68;44:68","0.0130615234375","Yes"
"35","369.5154384504223","194.5448288811981","0.0240478515625","0.02490234375","0.023193359375","2400","0.0001356219305290292","32","0.0001356219305290292","0","0.0001356219305290292","0.0001356219305290292","25:0.0016775479951044725;36:0.0016000281879657852;45:0.0019532942720237867;34:0.0022639350665192848","25:68;36:68;45:68;34:68","0.0240478515625","Yes"
"36","310.0664307454247","169.20281191420594","0.041748046875","0.04736328125","0.0361328125","2400","0.0001425618184429233","32","0.0001425618184429233","0","0.0001425618184429233","0.0001425618184429233","46:0.002239466738401641;26:0.0014469952527902952;35:0.0016000281879657852;37:0.0038686698256200636","46:68;26:68;35:68;37:68","0.041748046875","Yes"
"37","111.53324747558439","121.73344948438206","0.028076171875","0.033203125","0.024169921875","2400","0.0006463983421843027","32","0.0006463983421843027","0","0.0006463983421843027","0.0006463983421843027","27:0.002964802741290573;36:0.0038686698256200636;38:0.004154874800275737;47:0.0027347233857821507","27:108;36:68;38:68;47:88","0.028076171875","Yes"
