"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"53","398.19596037927397","215.80763596149544","0.017822265625","0.025634765625","0.010009765625","2400","0.0001824953834210692","32","0.0001824953834210692","0","0.0001824953834210692","0.0001824953834210692","52:0.003172194851008392;54:0.002129681165936481;63:0.0025323625568995367;43:0.0014294506809154894","52:128;54:148;63:228;43:128","0.017822265625","Yes"
"54","286.10387287171324","204.73477001484125","0.0107421875","0.01513671875","0.009521484375","2400","0.0003346750848972292","32","0.0003346750848972292","0","0.0003346750848972292","0.0003346750848972292","44:0.0037874171910976806;53:0.002129681165936481;55:0.003574047140292219;64:0.002533803342495866","44:128;53:148;55:228;64:208","0.0107421875","Yes"
"55","377.5360379315545","214.1435781143061","0.009765625","0.011474609375","0.008056640625","2400","0.00019255426455448008","32","0.00019255426455448008","0","0.00019255426455448008","0.00019255426455448008","56:0.00315431980355127;45:0.002552125505719899;65:0.0028425245311700653;54:0.003574047140292219","56:168;45:128;65:148;54:228","0.009765625","Yes"
"56","280.9800346855464","232.94167037217625","0.0360107421875","0.053955078125","0.01806640625","2400","0.00030667082846554176","32","0.00030667082846554176","0","0.00030667082846554176","0.00030667082846554176","55:0.00315431980355127;46:0.0025274197572706936;57:0.002201454897785088;66:0.0026959635115771097","55:168;46:188;57:128;66:128","0.0360107421875","Yes"
"57","260.47629523294324","200.88753663180555","0.0303955078125","0.049072265625","0.01171875","2400","0.00034855774146233157","32","0.00034855774146233157","0","0.00034855774146233157","0.00034855774146233157","47:0.002961360396726509;56:0.002201454897785088;58:0.0022109179405155888;67:0.004559884840419276","47:168;56:128;58:168;67:308","0.0303955078125","Yes"
"58","404.55077579594865","370.97145267892193","0.0234375","0.03369140625","0.01318359375","2400","0.0001787980822218995","32","0.0001787980822218995","0","0.0001787980822218995","0.0001787980822218995","48:0.014362073387820834;57:0.0022109179405155888;59:0.0017885965208360166;68:0.003068087981103751","48:248;57:168;59:168;68:248","0.0234375","Yes"
"59","252.88936909059245","244.73730318003416","0.0233154296875","0.02880859375","0.017822265625","2400","0.00016977308033266366","32","0.00016977308033266366","0","0.00016977308033266366","0.00016977308033266366","49:0.0012582515251150506;58:0.0017885965208360166;69:0.0016416831706215496","49:128;58:168;69:128","0.0233154296875","Yes"
"60","155.68325978228808","85.86197087278285","0.01025390625","0.017578125","0.0029296875","2400","0.0010519381148073065","32","0.0010519381148073065","0","0.0010519381148073065","0.0010519381148073065","61:0.07479764581641302;50:0.02857882217363411;70:0.0031375865857528884","61:128;50:68;70:128","0.01025390625","Yes"
"61","46.317583814690025","72.19001201071951","0.1358642578125","0.190185546875","0.08154296875","2400","0.00664907424166701","32","0.00664907424166701","0","0.00664907424166701","0.00664907424166701","51:0.02730314612662621;60:0.07479764581641302;62:0.022936084705306947;71:0.04008603204525199","51:128;60:128;62:288;71:188","0.1358642578125","Yes"
"62","398.7026721991946","248.0529154025404","0.0213623046875","0.025146484375","0.017578125","2400","0.00012470616032895094","32","0.00012470616032895094","0","0.00012470616032895094","0.00012470616032895094","72:0.0019607491761844398;52:0.004402153435450057;61:0.022936084705306947;63:0.0013446417355077456","72:128;52:128;61:288;63:128","0.0213623046875","Yes"
